BetID,Date,League,Game,Player,Market,Direction,Line,Odds,Stake,ActualUnits,Book,Result,Status,Actual,P/L,CLV,CLV_Percent,OpeningLine,ClosingLine,CLV_Points,Signal,ModelVersion,Projection,Edge,Confidence,FinalSignal,SuggestedUnits,Notes,CreatedAt,UpdatedAt
BET-00023,2026-05-28,WNBA,ATL @ MIN,Angel Reese,Rebounds,UNDER,11.5,2.05,0.1,0.1,,WIN,SETTLED,8.0,0.105,,,11.5,,,High Usage Big vs Stingy,,,,,,,Won: Angel Reese 8 rebounds under 11.5,2026-05-27T20:17:31,2026-05-28T09:58:40
BET-00024,2026-05-28,WNBA,ATL @ MIN,Angel Reese,Points & Rebounds,UNDER,25.5,1.86,0.1,0.1,,WIN,SETTLED,18.0,0.086,,,25.5,,,High Usage Big vs Stingy,,,,,,,Won: Angel Reese 18 points+rebounds under 25.5,2026-05-27T20:17:31,2026-05-28T09:58:40
BET-00025,2026-05-28,WNBA,ATL @ MIN,Natasha Howard,Rebounds,UNDER,7.5,1.83,0.1,0.1,,LOSS,SETTLED,8.0,-0.1,,,7.5,,,High Usage Big vs Stingy,,,,,,,Lost by 0.5 rebound: Natasha Howard 8 rebounds under 7.5,2026-05-27T20:17:31,2026-05-28T09:58:40
BET-00026,2026-05-28,WNBA,WSH @ SEA,Shakira Austin,Rebounds,OVER,7.5,1.83,0.1,0.1,,WIN,SETTLED,13.0,0.083,,,7.5,,,Big vs Generous DREB,,,,,,,Won: Shakira Austin 13 rebounds over 7.5,2026-05-27T20:17:31,2026-05-28T09:58:40
BET-00027,2026-05-28,WNBA,ATL @ MIN,,Game Total,UNDER,163.5,1.91,0.1,0.1,,LOSS,SETTLED,177.0,-0.1,,,163.5,,,DREB Stingy Total,,,,,,,Lost: ATL @ MIN final total 177 over under 163.5,2026-05-27T20:17:31,2026-05-28T09:58:40
BET-00028,2026-05-30,WNBA,LAS SPARKS @ WAS MYSTICS,,Alt Game Total,OVER,165.5,1.95,0.10,0.10,manual,WIN,SETTLED,179,0.10,,,,,,Manual settled total ladder,manual_operator_entry_v21_9,,,,,,Screenshot settled entry; Over 165.5 won; returned 0.20,2026-05-30T21:48:26Z,2026-05-30T21:48:26Z
BET-00029,2026-05-30,WNBA,LAS SPARKS @ WAS MYSTICS,,Alt Game Total,OVER,166.5,2.05,0.10,0.10,manual,WIN,SETTLED,179,0.11,,,,,,Manual settled total ladder,manual_operator_entry_v21_9,,,,,,Screenshot settled entry; Over 166.5 won; returned 0.21,2026-05-30T21:48:26Z,2026-05-30T21:48:26Z
BET-00030,2026-05-30,WNBA,LAS SPARKS @ WAS MYSTICS,,Alt Game Total,OVER,167.5,2.15,0.10,0.10,manual,WIN,SETTLED,179,0.12,,,,,,Manual settled total ladder,manual_operator_entry_v21_9,,,,,,Screenshot settled entry; Over 167.5 won; returned 0.22,2026-05-30T21:48:26Z,2026-05-30T21:48:26Z
BET-00031,2026-05-30,WNBA,LAS SPARKS @ WAS MYSTICS,,Game Total,OVER,168.5,1.86,0.10,0.10,manual,WIN,SETTLED,179,0.09,,,,,,Manual settled total ladder,manual_operator_entry_v21_9,,,,,,Screenshot settled entry; Over 168.5 won; returned 0.19,2026-05-30T21:48:26Z,2026-05-30T21:48:26Z
BET-00032,2026-05-30,WNBA,LAS SPARKS @ WAS MYSTICS,,Alt Game Total,OVER,168.5,2.25,0.10,0.10,manual,WIN,SETTLED,179,0.13,,,,,,Manual settled total ladder,manual_operator_entry_v21_9,,,,,,Screenshot settled entry; Over 168.5 alt won; returned 0.23,2026-05-30T21:48:26Z,2026-05-30T21:48:26Z
BET-00033,2026-05-31,WNBA,LA Sparks @ CON Sun,spread,LAS,-3.5,1.86,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,model manual market review LEAN_SUPPORT edge 10.25 conf 66.75,2026-05-30T21:59:35+00:00,manual_operator_entry_v21_9
BET-00034,2026-05-31,WNBA,LV Aces @ GS Valkyries,game_total,OVER,169.5,1.86,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,model manual market review LEAN_SUPPORT edge 6.8133 conf 65.25,2026-05-30T21:59:35+00:00,manual_operator_entry_v21_9
BET-00035,2026-05-31,WNBA,LV Aces @ GS Valkyries,spread,GSV,1.5,1.86,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,model manual market review LEAN_SUPPORT edge 6.3583 conf 55.08,2026-05-30T21:59:36+00:00,manual_operator_entry_v21_9
BET-00036,2026-05-31,WNBA,LA Sparks @ CON Sun,spread,LAS,-3.5,1.82,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE_1 LEAN_SUPPORT edge 10.25 conf 66.75; executed odds 1.82,2026-05-30T22:03:43+00:00,manual_operator_entry_v21_9
BET-00037,2026-05-31,WNBA,LV Aces @ GS Valkyries,game_total,OVER,169.5,1.9,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE_2 LEAN_SUPPORT edge 6.8133 conf 65.25; executed odds 1.90,2026-05-30T22:03:44+00:00,manual_operator_entry_v21_9
BET-00038,2026-05-31,WNBA,LV Aces @ GS Valkyries,spread,GSV,1.5,1.87,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE_3 LEAN_SUPPORT edge 6.3583 conf 55.08; executed odds 1.87,2026-05-30T22:03:45+00:00,manual_operator_entry_v21_9
BET-00039,2026-05-31,WNBA,LA Sparks @ CON Sun,spread,LAS,-3.5,1.82,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE_1 LEAN_SUPPORT spread edge 10.25 conf 66.75; executed odds 1.82,2026-05-30T22:20:18+00:00,manual_operator_entry_v21_9
BET-00040,2026-05-31,WNBA,LA Sparks @ CON Sun,moneyline,LAS,0.0,1.83,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE LEAN_SUPPORT moneyline edge 0.243 conf 70.0; executed odds 1.83,2026-05-30T22:20:18+00:00,manual_operator_entry_v21_9
BET-00041,2026-05-31,WNBA,LV Aces @ GS Valkyries,game_total,OVER,169.5,1.9,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE_2 LEAN_SUPPORT edge 6.8133 conf 65.25; executed odds 1.90,2026-05-30T22:20:19+00:00,manual_operator_entry_v21_9
BET-00042,2026-05-31,WNBA,LV Aces @ GS Valkyries,spread,GSV,1.5,1.87,0.1,manual,OPEN,,,,MANUAL,v21.9_manual,,,,,MODEL_QUEUE_3 LEAN_SUPPORT edge 6.3583 conf 55.08; executed odds 1.87,2026-05-30T22:20:19+00:00,manual_operator_entry_v21_9
